CLF	DLS	ISIS	NAME	UNITS	UNITS_LONG_VERSION	SEARCHABLE	NUMERIC_VALUE	NON_NUMERIC_VALUE_FORMAT	IS_SAMPLE_PARAMETER	IS_DATASET_PARAMETER	IS_DATAFILE_PARAMETER	DESCRIPTION	VERIFIED	SEQ_NUMBER	MOD_ID	MOD_TIME	CREATE_TIME	CREATE_ID	FACILITY_ACQUIRED	DELETED
n	n	y	run_duration	seconds	seconds	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	run_header	N/A	N/A	Y	N		N	N	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:30:16.6	FROM SPREADSHEET	Y	N
n	n	y	run_id	N/A	N/A	Y	N		N	N	N	Other possible name : shot_id	Y	1.00	ICATISIS_DEV_NEW	12/09/2007 13:30:16.6	12/09/2007 13:30:16.6	FROM SPREADSHEET	Y	N
n	n	y	run_number	decimal	decimal	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	run_number	N/A	N/A	Y	Y		N	N	Y	Other possible name : shot_number	Y	1.00	tang76	12/09/2007 13:30:16.6	12/09/2007 13:30:16.6	FROM SPREADSHEET	Y	N
n	n	y	run_title	N/A	N/A	Y	N		N	N	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:30:16.6	FROM SPREADSHEET	Y	N
n	n	y	rupper	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rupperi	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	s1kpot	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	samp	KELVIN	KELVIN	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	samp	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	sample	degree K	degree K	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	sample	KELVIN	KELVIN	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
